,name,country,review_count,review_date,experience_date,title,content,star_rating
88,Kiki,US,1,"Jun 28, 2024","June 27, 2024",They’ve made shopping for my…,"They’ve made shopping for my merchandise so much cheaper. No more crazy pricy resellers or ridiculous shipping fees. Their proxy and Bunjang service is good. Customer service is good too, I ask so many questions. Cons: sometimes  they don’t read the additional information you write down and they’re less communicative than before. Bunjang- I don’t like the instant buy feature either because I want to negotiate prices or ask questions about a listing. I don’t like how I can’t order multiple items from one website without filling different order forms (meaning getting charged domestic shipping again and again). Otherwise, their fees are reasonable and I would recommend using them.",5
89,JS,US,1,"Jun 28, 2024","June 27, 2024","Using Since 2022, Will Keep On Using","I've been using Delivered Korea's services for over 2 years now, they've been super easy to use and helpful. Their partnership with Bunjang also helped me find Korean products that I could never buy on my own in the US.",5
90,KG,DE,2,"Jun 27, 2024","June 05, 2024",Trustworthy proxy service,"Very trustworthy proxy service, but the consolidation fees are a little expensive. Especially when you have multiple packages, they add up pretty quick. However, I'm glad that they expanded their storage time!",4
91,Deewhy Miner,AU,1,"Jun 27, 2024","June 27, 2024",First time using,"First time using, been happy with both the ""you buy"" and ""we buy"" options. Just waiting for my package to be shipped.",5
92,Claudia,IT,1,"Jun 26, 2024","March 01, 2024",Trustworthy proxy,"Trustworthy proxy. I didn't appreciate much how they packed my magazines covers, the service is not cheap and I get a really better service from other warehouses.",3
93,E Tad,IT,1,"Jun 26, 2024","May 30, 2024",They are very efficient in everything…,They are very efficient in everything they do,5
94,Klaudia,HU,1,"Jun 26, 2024","June 26, 2024",This is the easiest way to order…,This is the easiest way to order something from Korea to your address. The best delivery service i’ve ever used.,5
95,Maeva,FR,1,"Jun 26, 2024","March 06, 2024",great service,"i've used them twice for now and i'm really satisfied, i will continue using them!",5
96,Sharleen Mae Kiu Pabiloña,PH,1,"Jun 26, 2024","June 03, 2024",we buy,"whenever I need to purchase merch/goods from Korean Site, I always use the WE BUY ORDERS service for a hassle free transaction. They are very fast and efficient",5
97,Duc-Thanh Chu,FR,1,"Jun 26, 2024","September 20, 2023",Fantastic :),"Fantastic! I've used it multiple times to ship clothes to France and Canada :) Works great, great website, very easy to navigate, very nice pricing for fast shipping !",5
98,Karen Benson,US,3,"Jun 26, 2024","April 25, 2024",Customer service was excellent,Customer service was excellent. Were very quick to notify me of a price change and if I still wanted the product. Refunded my purchase and were very pleasant to work with. Can't wait to use them again.,5
99,Yen,PH,1,"Jun 26, 2024","June 06, 2024",My items were delivered really fast,"My items were delivered really fast, took only 3 days and you can see the tracking of your parcel every movement which helps me because I tend to overthink and worry a lot if it looks like its not moving. I really love the service. For recommendations, I hope we can have one order form for multiple links for one site ordering since some websites have promo regarding shipping or extra products when reaching a certain amount of purchase. Handling fees will be counted per link too but just one ordering will be made. I hope this will be possible soon. Thank you",5
100,Karin May,US,1,"Jun 26, 2024","June 25, 2024",It's been a week and a half,"It's been a week and a half, and my issue is still unresolved. It's also expensive, especially if you're forwarding many packages. Right now, I'm not very happy with their service. However, the website is very easy to use.",2
101,Avtar Singh,CA,2,"Jun 25, 2024","May 29, 2024",Great Service,Great Service. Fast and reliable. There are plenty of shipping options to choose from.,5
102,ML,US,1,"Updated Jul 16, 2024","June 23, 2024",Good forwarding service,"I have been using DeliveredKorea for a couple years now and have had a good experience for the most part. I mostly use them as a forwarder for my group order items, however I would NOT recommend their Delivered Standard shipping option if you have small packages. I’ve used it twice and my packages have gotten lost— not exactly sure if it’s DK fault or shipping courier. Fedex and UPS are fine though.I do appreciate they lowered their consolidation fees to $1 for envelopes and $3 for packages as those fees can add up pretty quick.Consolidations take a couple days but I usually get a shipping notification within 1-2 days after I pay for shipping. Fast and easy to use service.",4
103,Teresita Cintora,US,1,"Jun 25, 2024","May 23, 2024",Fast Shipping,Pretty fast shipping once items are on hand. Had no problems :),5
104,Nok Kodcharat,TH,1,"Jun 25, 2024","June 08, 2024",deliver items from Korea.,very good services to deliver items from Korea.,5
105,Millie N,NA,2,"Jun 25, 2024","June 03, 2024",Great service great shipping rates,Great service great shipping rates. I got my package in great condition thank you delivered korea. 5 stars I highly recommend!,5
106,Jules P,MX,1,"Jun 25, 2024","June 25, 2024",Great experience with minor issue,"I've been using DK for a year now and generally it's great, fast processing time and offers good shipping rates, only problem is that emailing customer service for inquiries can be quite slow and answers are often unsatisfactory, I wish there was more care or process put into giving more detailed customer service, but if you are using them for shipping small items, it's a fast, dependable, and easy to use service.",4
107,Maren,DE,1,"Jun 25, 2024","June 25, 2024",Exactly what I needed!,This is exactly the affordable way I needed to get my kpop goods to Germany. I have gotten one package delivered from Korea to Germany through Delivered Korea. I was 100% satisfied with their service. I used their repacking service to make my package smaller and I was able to save so much on shipping. Everything arrived safely and quickly and the service fees are absolutely reasonable. I currently have my second package in their warehouse and it will definitely not be my last.,5
108,Konstantinos,GR,5,"Jun 25, 2024","June 25, 2024",If you're looking to buy items from…,"If you're looking to buy items from Korean websites but can't ship them internationally, Delivered.co.kr is a fantastic option. They act as a package forwarding service, purchasing your items and then shipping them to you overseas.Convenience: They eliminate the hassle of dealing with Korean checkout processes and international shipping restrictions.User-Friendly: Their website is professional and easy to navigate.Additional Services: They offer repacking and consolidation services to help you save on shipping costs.Customer Service: They to have a friendly and helpful customer service team.Overall, Delivered.co.kr is a reliable and convenient option for anyone looking to shop Korean websites and get their goodies shipped internationally.",5
109,FerhatB,SE,1,"Jun 25, 2024","May 02, 2024",Excellent service,Excellent service. They offer 30 days of free storage which is plenty of time. They also package everything very well with bubble wrap so there was zero damages on my albums. Would recommend,5
110,Shoog,SA,1,"Jun 25, 2024","January 01, 2024","Good responsive, shipping company👍🏻","i ordered an album i received it in perfect condition , i even used my wrong address but they helped me through every step amazing costumer service👍🏻👍🏻",5
111,Gaëlle Estimé,CA,1,"Jun 25, 2024","April 10, 2024",Wishing for better,My experience with them is the best. They know how reassure when you are stressed about packages because I am not used to proxy much. I wish they could tell us when a request is denied and why by email. I requested a repack for a package but they never notice me for a denial. I discovered later that my package was just already too much packed to be repack. Just a head ups could be more appreciate.,4
112,Oli's Life,CA,1,"Jun 25, 2024","September 25, 2023",I love my experience with Delivered…,I love my experience with Delivered Korea,5
113,amanda,CA,4,"Jun 25, 2024","May 21, 2024",Used Delivered again back in May during…,"Used Delivered again back in May during their Bunjang event. It was easy to use their We Buy service and when I got my things, everything was well packaged with bubble wrap.Will use Delivered again for all my Bunjang purchases!",5
114,Emma Choi,US,1,"Jun 25, 2024","June 25, 2024",Delivered Korea — 8/10 for me !,"I am going to give my very honest review since this can be a source of critique and a source of help to others !I have used delivered korea since it was the first proxy purchase that popped up and my experience overall has been an 8/10. I have used their service for almost a year now and there has been great times and sometimes not so great times.Starting with pros, DK has fast forwarding/consolidation time which i love since i also get my package 2-3 days later after paying shipping. Their site is easy to navigate and shows where everything is. At first the customer service was what you expect good customer service to be, but there were times (multiple at that) when questions get ignored (where i would have to contact them on separate occasions because they weren’t being forward with me) and the time for a response back would take 2-3 if not 5 days and by then the item in question that i wanted help with would go out of stock. One thing i am dissatisfied/disappointed by is the fees and exchange rates for the we buy service. Consolidation being $3 becomes very expensive fast. The exchange rate for the we buy service adds almost $4-6 more on top of the price in won. The free warehouse storage date went from 30 days to 45 which is an improvement for sure ! But i know of other proxies that give a full year of free warehouse storage date so … anyways, those are my top cons but other than that the rest of the service was good !",4
115,carol,GB,22,"Jun 25, 2024","June 25, 2024",Brilliant service,Brilliant service and even better as you can consolidate your orders highly recommend,5
116,olivia,US,1,"Jun 25, 2024","May 01, 2024",Great Service,"Easiest warehouse service I’ve used. The customer service is also very good, they will do everything to help you! If you are unfamiliar with using a proxy/warehouse service this one is the best, especially for beginners.",5
117,Cindy,CH,1,"Jun 25, 2024","June 12, 2024",Awesome service!!,"Great service!So far I've only used the warehouse, their we buy we ship service and their shop (DK shop) so I cannot say much about the other ones they offer, but they have so many so depending on what your buying purpose is, you can definitely be satisfied.Whether you buy from multiple places and want them all in one package or if you're a photocard collector and only wish to get inclusions instead of albums (which they also sell in their shop for 1$, so if you're not a collector and don't mind buying opened albums as you just want the those, then it's perfect for you).In regards to their We buy We ship service, if the item is available for purchase they confirm and place the order quite fast, so i was very satisfied with it !Their website is also very userfriendly, with lots of tutorials as well, so it's very easy to navigate even if you're not a tech expert.Truly recommend using them as your korean address, especially if you're a Kpop fan and want to save on shipping fees.",5
118,Lynn Hu,NL,1,"Jun 25, 2024","June 15, 2024",Good,It was very easy and fast delivery. I would definitely order again!!!,4
119,GH Project Manager,GB,3,"Jun 25, 2024","June 01, 2024",The best and fast service,I am always impressed every time by the great service offered by Delivered Korea team; such a great option  for not missing on having Korean products available.,5
120,Melania Chiavuzzo,IT,1,"Jun 25, 2024","June 25, 2024",Amazing,Amazing! Everything is so fast and they are super kind!,5
121,Cheesecake_chinny,AU,7,"Jun 25, 2024","June 23, 2024",Very great and fast service.,Very great and fast service.Have ability to choose which shipping services.Best shipping address,5
122,tryvichy,GB,1,"Jun 25, 2024","May 16, 2024",Great customer service,Great customer service- they’re very quick to answer any email enquiries. Quick packing and shipping too!,5
123,Daniele Sangermano,IT,2,"Jun 25, 2024","April 10, 2024",All perfect,All perfect. The products arrived impeccably packaged. Fast and precise service; the staff always courteous. Recommended for all Korea lovers.,5
124,Hector Llorens Vigara,ES,1,"Jun 25, 2024","June 25, 2024",Delivered Korea the best option,"Since I discover Delivered Korea I use everytime I want something from Korea. Is very easy and trustworthy, so I'm never worried to use it anytime. Even if you have questions or problems, they resolved them fast.",5
125,customer,GB,2,"Jun 25, 2024","June 25, 2024",I have actually been using Delivered…,I have actually been using Delivered Korea for nearly 3 years now and they've been nothing short of amazing.  The fact that they offer services like Repackaging or Consolidating multiple packages into 1 at little cost is brilliant and I can't tell you how much I've saved on shipping.  Packages usually arrive in around 1 week and their customer service is also outstanding.,5
126,Edward,US,1,"Jun 25, 2024","June 25, 2024",Easy transaction,"Easy transaction, good communication & fast shipping. Highly recommend.",5
127,Manuia,FR,1,"Jun 25, 2024","May 28, 2024",Your own Korean address/ warehouse for your korean oders ☆☆☆☆☆,"I use Delivered Korea for my korean orders (PC, kpop merch/album, skincare products,...) it's so useful, placing order from korea is way easier: they ship your packages really fast (I'm in the Europe) and the fact that they offer the opportunity to keep your packages at a low price and for a pretty long period is a big plus ! Since I need a korean address for some oders, you can have your own with them, also you can place some oder with them (they also have the DKshop) :) it's one of my greatest finds of the 2 past years !! So don't hesitate !! ^^",5
128,Jules,GB,39,"Jun 25, 2024","June 25, 2024",Customer service is excellent,"I don't buy merch from Korea very often but when I do, I always trust Delivered Korea. Their customer service is so helpful and quick to respond and they work hard to find ways to reduce shipping costs.My stuff always arrives packed so carefully and well protected.Highly recommended 👌",5
129,Steph,US,2,"Jun 25, 2024","June 25, 2024",Good service!,"Great UI, pretty quick service. Lots of fees for everything but mostly decently priced, and they run some occasional promotions for discounts!",5
130,cassidy miguel,US,2,"Jun 25, 2024","June 24, 2024",Website is easy to navigate,Website is easy to navigate. Customer service is helpful and I get a reply in a timely manner. I've been using this proxy for quite a while and every time I'm left super satisfied!,5
131,Dee,GB,2,"Jun 25, 2024","June 24, 2024",Great service for shipping lots of items from Korea,I use Delivered to purchase a number of items from shops in Korea and have them consolidate it all into one package. It takes a little time to go through the whole process but it’s a great way be able to save on big shipping costs of individual items to the UK and pay for just one charge instead. Any problems are usually quickly dealt with. It’s an amazing service,5
132,K,NL,7,"Jun 25, 2024","June 25, 2024",Good experience!,"I’ve been using DeliveredKorea for quite some time now and never had a bad experience! Packages always arrive fast and in perfect condition and the customer service is always very helpful, however i do think the customer service could be a bit faster, sometimes it takes several days to reply which can be a bit stressful especially with important inquiries, so it would be great if you can work on that! Maybe a live chat or Kakaotalk would be a good idea?",4
133,Christine,AE,1,"Jun 25, 2024","June 25, 2024",Delivered korea app is really great,Delivered korea app is really great. Easy to use. Already use this last year and was very satisfied.,5
134,Cl,GB,7,"Jun 13, 2024","June 13, 2024",The nastiest  thieves and liars you could deal with,"I posted a review here on the 14th in desperation after them ignoring my emails, they replied here with an awful reply showing they didn't read not care what I said. I emailed as they said despite that never working, edited my review to reflect what was still going on and still then on 4th of the next month was yet to hear back.I then posted the review again after having still not received a reply despite waiting with added info. Just as I said emailing them gets you nowhere.They then reply saying ""We are sorry if you have felt any inconvenience in using our service. It has been confirmed that our staff in your case continues to provide assistance. In order to expedite the shipping request process, we ask for your kind cooperation on providing the information we have requested to further assist you."" Trying to make out I'm the issue.I outlined what my issues were and what needed to be done. You said to email you. You ignored my email. You then reply with more fob offs and now say this? Everytime you've asked for information I've given it to you but you ignore me everywhere but here. What more could you possibly need. How can you say customer services are still helping when you ignore my emails even after saying here to email you and you'll help. STOP LYING!This was the reply before this 17 May 2024Hello, Thank you for taking the time to express your experience and we sincerely apologize for any inconvenience.If you would like to require clarification, please feel free to contact us directly. We will promptly respond with solutions. Once again, we apologize for any inconvenience and appreciate your cooperation. Thank youYou didn't reply, you act like you don't know what needs to be done when it's clear in the reviews and all my emails to you and then you turn around and say CS are helping - prove it, show me a screenshot of us talking recently. You ignore me everywhere but here where its public.Genuinely vile company that has been abusing it's position and being vile and causing so much stress over nearly a year with this issue. It seems they feel bold enough to say these things in the open, which I've screenshotted.You have my items, get a single point of contact in management assigned to my case who will email me from the non generic issue email address you use even when I say time and again causes issues. Get them to help ship all of my items to me safely and without fees that absolutely you don't deserve. I've been trying to get my items nor nearly a year now!I have asked for this so so many times its unreal.At this point I'm sure they enjoy holding items hostage and causing harm and worryEven if I did send an email with the information if they didn't have it what reason do I have to believe they'll reply to this one or help this time? None. If I updated my review they wouldn't have seen.You're one step away from me taking this to Twitter with proof and reporting you to the authorities. Do I need to okay my GOM friend with over 100k followers from sharing it with all of their followers on Instagram and Twitter.",1
135,Cynthia Muñoz,MX,1,"Jun 11, 2024","June 11, 2024",I’ve been using Delivered Korea for a…,"I’ve been using Delivered Korea for a year and a half and everything has been excellent, they respond to my emails and every doubt I have.Relayed with my boxes, they pack everything excellent.",5
136,Sekar M,IN,18,"May 31, 2024","May 31, 2024",Chennai South Korea Very excellent…,Chennai South Korea Very excellent service to customer support - pavithran,5
137,Mani Bharathi,IN,3,"May 31, 2024","May 31, 2024",South Korea Pavithran done a good…,South Korea Pavithran done a good service,5
138,ANONYM,AT,21,"May 24, 2024","May 21, 2024",They sent me a defective item and are…,"They sent me a defective item and are now ignoring my emails. I have reported them to Paypal. I don't think they have a real customer service department, probably just AI chatbots. I strongly urge anyone considering doing business with them to research alternative options as the chances of disappointment are very high and then you are left on your own.",1
139,EL,AU,1,"May 18, 2024","May 17, 2024",Legitimate,Legitimate service but too slow and too expensive.Take not that most 5 star reviews are biased because this company offers $5 coupons for posting a review on Trustpilot or Google.,2
140,toro,US,1,"May 17, 2024","May 01, 2024",recommended!,"i love it, i consolidated  packages and it arrived in under 2 weeks :) i highly recommend if your shipping products form korea to the us",5
141,Sang-Hee Han,US,1,"May 17, 2024","May 16, 2024",Confused about shipping costs.,"This is my first time using this site, and I was very confused because there was no detailed information. After purchasing the product from Bunjang, I thought the shipping fee was included in the price of the product because there was no mention of the shipping fee, but now that I've been asking around on the site, it seems that the shipping fee is set separately and charged to the buyer. In fact, from the buyer's point of view, it may be very difficult to know how much the shipping fee will be charged, and people like me who are purchasing items from this site for the first time do not have information about the shipping fee, so they mistakenly think that the shipping fee is included when purchasing the product like me. I'm not so happy about it because I don't know the amount of the shipping fee yet. I don't know if I can cancel the order depending on the shipping cost later. I think it would be helpful when purchasing an item if there was a mention of estimated shipping costs.",2
142,KJ,GB,3,"Updated Jun 18, 2024","May 13, 2024","Used to be great, but now not so much","I’ve used Delivered Korea a few times now and they’re pretty reliable as long as everything is straightforward. The items are always packed with care and the shipping fees are competitive (If you need extra services though, the additional fees can soon add up). If I was basing my review on this alone it would definitely be 5 stars.However, If you have a query or something goes wrong they can be extremely slow to respond. It can sometimes take them 4 - 5 days to reply to a email and they don’t have a discord server or online help, which would speed the process up.  There’s a phone number but calls to SK can be expensive. They are also slow to order on Bunjang too if that’s what you plan on using them for.Edit: I have never felt the need to edit and downgrade a review before but the service DK are providing is getting worse and worse. I’ve been using them for 2 years with no problems but my latest experience has been really bad. It is taking more than a week to answer emails, their services such as consolidation and inclusion only are extremely slow. I paid for shipping almost a week ago and my package has been on hold since with no explanation. I used to recommend DK to anyone who would listen but based on my most recent experience I’m afraid that I won’t be doing that anymore.Their explanation is that they are going through a busy period, well then hire more staff. A large portion of their customer base are KPOP GOMs so when is it not going to be busy? I’m also hearing some worrying things on Twitter and Reddit about items missing or items being damaged which is extremely concerning. So much so that I arranged shipping for 3 signed albums separately so that there’s no possibility of anything happening to them at the warehouse during the consolidation stage.I’m wondering if they are actually a victim of their own success and can’t keep up with demand. I’m sorry to say this but if their service doesn’t improve I’ll have to use another company, which is such a shame because I used to love using them.And they really need to add a chat function to their website or at least provide better signposting if they require further information. A week to answer emails is just not it, and sometimes they don’t even email at all.I know there’s a lot of 5* reviews but like another reviewer said, customers are rewarded for good reviews",1
143,Charlene,TH,1,"May 3, 2024","May 03, 2024",The most reliable and cost-effective delivery service for your K-merch,"They are highly efficient and trusted! They take care of your package well and ship out your package quickly. Availing their services greatly reduced the shipping prices, thus I saved a lot on my K-pop merch purchases. Highly recommended!",5
144,nat,GB,1,"May 3, 2024","May 02, 2024",10/10,"amazing company, quick shipping and super easy to use!! would definitely recommend :)",5
145,Mykah Walker,US,1,"Apr 23, 2024","April 22, 2024",Pretty Good,ordered some kpop albums and they came perfectly fine and quick,5
146,Li San,GB,1,"Apr 8, 2024","April 08, 2024",Decent Forwarding Service,"I've used DK a few times now. My packages have always arrived safely and well-packed.I would have given them 4 stars but they take awhile to act on any requests e.g. consolidation, shipping, etc. There's quite a delay in processing deliveries with the recent increase in concerns about customers undervaluing items for customs. My package has been with them since the end of January and I'm still waiting for it to be shipped out.The fees can also quite expensive and can quickly add up, so be careful.",3
147,Kelly Y,NZ,1,"Mar 31, 2024","December 29, 2023",Great and trustworthy services!,I've used Delivered Korea's 'you buy' and 'we buy' service a few times and have been really happy with their services! They are very efficient and packaging is great - a very trustworthy k-addy.,5
148,Wendy,AU,4,"Mar 27, 2024","March 11, 2024",Fantastic buying and forwarding service,"Tried their service for the very first time and it was an amazing experience. Love the interface where everything is explained clearly and easy to use and follow. Also great communication throughout the process, from buying to packing to delivery. I received my first package today and it was packed perfectly and delivered promptly to Australia. The fees are minimal and well worth the care they put into their service. Will be using them again and recommend to anyone searching for a buying/forwarding/delivery service from Korea!",5
149,Amy Truong,CA,4,"Mar 26, 2024","February 02, 2024","A little more expensive than you might expect, but you get what you pay for","If you're familiar with shopping services, Delivered Korea is hard to beat for their convenience. Their website is fairly well laid out, but you have to know where to look. There are some free services that are kind of hidden (like requesting photos of your item). Similarly, there's a lot of behind the scenes communications they do with sellers that they won't share (unless you ask, I presume). It'd be nice if you were able to cap the max you'd like to spend on a transaction, as I got a nice surprise price jump of about $18 on a Bunjang item since they didn't keep me up to date on the negotiations. But most of the time, all their fees are stated clearly — there's just quiiite a lot of them, so purchases add up fast. But as long as you're prepared to empty out your wallet, you should have a very easy time purchasing whatever you'd like. Oh, and be prepared to wait to hear back for pricing on items *not* on Bunjang, especially if it's over the weekend. I put in some requests on a Thursday and think I finally got updates late on Tuesday.",3
150,Michelle S,US,1,"Mar 24, 2024","January 31, 2024",Excellent service,"Excellent service! I had a rush request and the girl, I think her name is Rachel, assisted me. Their packing is also so well done. My products arrive to my US Address without a scratch!",5
151,Boomer Le,US,1,"Mar 23, 2024","March 23, 2024",Good Service for first time buyer,This is my second purchase from Korea and the other service I used was very difficult to get answers from. Delivered Korea’s website and process are much easier to follow and customer service is good at following up on questions.,5
152,Lindsey R,US,1,"Mar 23, 2024","February 26, 2024",I love shopping with Delivered Korea,"I love shopping with Delivered Korea.They make it really easy to buy albums and records which i love to buy thse days. The protection they use for your packages is top notch. I love the request to buy feature. You link them with what you want to buy and they get back to you within a day or so and tell you if you can buy it or not. You pay, and then they pay the seller and my items get shipped to their warehouse, then I pay for shipping or consolidation of multiple packages and then it gets shipped out too me. I havent had an issue so far with them.",5
153,babygpop,US,1,"Mar 21, 2024","March 21, 2024",The quick response,The quick response,5
154,Michelle Huynh,US,1,"Mar 20, 2024","March 15, 2024",They are super attentive and the price…,They are super attentive and the price is worth the quick turnaround time it takes to pack and ship to the states! I recommend them to all my friends who are looking to get a k-addy!,5
155,Hugh,CA,1,"Mar 19, 2024","March 11, 2024",The package was good,"The package was good. The content was also not damaged. Overall, Very satisfied.",5
156,Ana P,GB,1,"Mar 19, 2024","March 19, 2024",Great shopping and affordable shipping costs.…,"What a great offering of shipping options from Korea to Europe.  Love using Delivered Korea. And the most useful is the consolidation of orders to save on shipping cost. I also use the Bunjang shipping service they offer. The teamare always attentive and helpful, thank you.",5
157,Vince Melissa,FR,4,"Mar 19, 2024","March 19, 2024",Everything was perfect,Everything was perfect.The delivery time and communication are great.I'm already preparing a new order.,5
158,vitalijus skirka,GB,8,"Mar 19, 2024","February 22, 2024",Excellent,"Excellent! Got them to buy and ship the jacket to the UK. All was done in a timely manner and very professionally. Beware though, custom fees and VAT will be applied by delivery company",5
159,April Hoover,US,3,"Mar 19, 2024","February 01, 2024",Best place I discovered,"Have used then many times now in a few months, so far no issues.  Being able to get my kpop, kdrama, beauty products and clothes for my daughter, justbsayingvso convenient to get what I see my artist and actors talking about.  Will continue using and recommending them",5
160,Rica Imai,SG,1,"Mar 19, 2024","March 14, 2024",Delivered Korea is very useful for Kpop…,"Delivered Korea is very useful for Kpop fans like us, we send our albums and md to Delivered Korea and consolidate to our country. The shipping and service charges are very affordable and cheap, many options. Recently they introduce Bunjang services and it is very fast and easy for us to access to buy Bunjang items. The customer service is very prompt to reply my enquiries too. Recommended!!",5
161,Jeydi Garcia,US,1,"Mar 19, 2024","March 11, 2024",Best Korean Shopping and Delivery.,Absolutely LOVE delivered korea. I have never had a problem with their shipping. Everything comes very well packaged and the whole box is always taped up very well. Everything comes right on time have never had an issue (unless bad weather). Would definitely recommend to anyone plus they have a long free period and even though you have to pay you can keep it there longer.,5
162,Brenda Ramos,US,1,"Mar 19, 2024","March 13, 2024",Great Service,"I've been using this service for almost a year. All my orders have been packed with care. The only issue I have is that it would be great of they didn't charge storage fees after the packages have been consolidated. Other than that I've had no issues, I've definitely have saved money on shipping. Would definitely recommend!!",5
163,Canada/Kersten Ritz,US,2,"Mar 18, 2024","February 29, 2024",Fast and reliable,I have been using the service for about 4 years now and it has been very convenient for me for when I want to purchase things from Korea and put my mind at ease in terms of consolidating and having it delivered to me in one package.,5
164,Jas L,DE,1,"Mar 18, 2024","March 18, 2024",Always a pleasant experience ordering…,Always a pleasant experience ordering stuff through them!!Thank you for your hard work,5
